feature,importance
num__Age,0.21491742143648118
num__NumOfProducts,0.12823399888101328
num__EstimatedSalary,0.08206846629511225
num__CreditScore,0.08034113761320574
num__Balance,0.0760544240230998
num__IsActiveMember,0.07173352063310881
num__Tenure,0.055693999937024424
num__nps_score,0.04274328447651999
num__customer_effort_score,0.030360062674272933
num__satisfaction_score,0.029311320162960196
cat__Geography_Germany,0.01891673301895089
cat__Gender_Male,0.014936458635144452
cat__Gender_Female,0.014749579044643342
cat__Geography_France,0.013478012227624285
num__high_effort_flag,0.01287605196708836
cat__interaction_channel_web,0.012712996984145113
cat__interaction_channel_call_center,0.0125830556665531
cat__interaction_channel_mobile_app,0.011846684940885269
num__complaint_flag,0.011386082454152508
num__HasCrCard,0.011372570645769948
cat__interaction_channel_branch,0.010504056367810264
cat__Geography_Spain,0.009721191242529105
num__low_satisfaction_flag,0.009543307289646072
cat__nps_category_Detractor,0.008709180370579913
cat__nps_category_Promoter,0.008008104687690589
cat__nps_category_Passive,0.00719829832398811
